text,label,source,dialect,predicted,confidence
يعني بحاسبونا على راينا اذا انتقدنا هيك ظواهر بس انهم ينشرو هيك محتويات عن هيك شخصيات ما بتحاسبو,1,NUHA,Unknown,0,0.53188133
والاسلام يقول استرقوا النساء واجعلوا اعراضهم مستباحة الاب والابن والصديق يستطيع معاشرتها واذا انجبت مولود عادي المالك ياخذ الطفل ويهديه كهدية لمن يريد خلط الانساب واضح وتلاعب باالفتاوى واضح اصبح المسلم يتستعبد مسلم مثله اسلام تتحدث يارجل,1,ArMIS,MSA + dialects,0,0.9777184
الرييس مصر تحتفظ لنفسها بالرد بالاسلوب والوقت المناسب على داعش,1,Arabic_Superset,Multi-dialect,0,0.8034782
تايملاين بلا الحاج راهب والكابتن شيعة لا يعول عليه,1,AraTox,Unknown,0,0.9937296
لهم نسالك فتحا مبين تشفي به صدور المومنين وتغيظ به الكافرين والمشركين والمنافقين والحاقدين,1,Fraiwan,Unknown,0,0.9960998
والله يخلص منكم رب العالمين ياقطاع الطرق,1,Algerian_Offensive,Unknown,0,0.998833
رغم الاهانة وصل الرز شكرا لقطر على عزة النفس,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,0.9548566
خالية من تجار الدين والدين والكهرباء وماء الشرب والامن والعدل والعلم شوف الصعيد لا يعرفوا قراءة الفاتحة والاسكان والوظايف فاستخف قومه فاطاعوه,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,0.9482581
الشيخوخة واعرة الله يسترتخاف الواحد يكبر يدير اكثر من هاك,1,NUHA,Unknown,0,0.94890684
ما بعرف انو شارع الامارات تغير اسمو وعابر غيرو صار هوا شارع الامارات,1,Arabic_Superset,Multi-dialect,0,0.907551
امراة بغي سقت كلبا فدخلت الجنة فمابالك تعاشر الكلاب كل يوم اللهم الفردوس الاعلى,1,ArCybC,Unknown,0,0.9251365
بلي نقلعو الصوم اعلمو جهلاء ملحدين المسيحيين اليهود يصومو الاوربيين يصومون الصوم مليح للصحة,1,Arabic_Superset|MultiDialect_NabilBadri|T-HSAB|TextDetox,Multi-dialect|Tunisian|Unknown,0,0.97616595
فرنسا تخاف من الحجاب لهاذه درجة تخيلو فرنسا ايام حكم المسلمين للاندلس كل يوم تبلل نفسها من شدة الخوف,1,HijabYT,Unknown,0,0.99545187
ولك يا استاذ الطب في المانيا ما تخليك في مهنتك اليس هذا افضل بكثير والله هييتك لاجي في المانياو عاطل عن العملو الا متى كان لديك الوقت للتعليق على اخبار التخلف,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,0.9498578
وفجاة تفكرت جوع كلبك يتبعك للعلامة احمد او يحي,1,DziriOFN,Unknown,0,0.9801886
انتم تساعدون في انتشار هذه الالفاظ على نطاق اوسع مما هي منتشرة في هذه الاحياء,1,NUHA,Unknown,0,0.9801207
احنا قلنا خذن حقوقكن واتساون مع الرجال بس مو هي يا القوارير,1,NUHA,Unknown,0,0.72144544
وين امير الملتحين عز هذا الشيخ التويجري ناصح ولي الخمر بالسر وطردوه وين الابواب المفتوحة,1,AraTox,Unknown,0,0.9874271
التحلاب خليتو ليكم انا عندي النيفو ما نحلب حتى عربي خاوة تضلو معشعشينهم هنا روحو دخلو ولادكم الاول,1,AfriHate,Unknown,0,0.6164307
مقتل قايد مليشيا الفاتحين من قطعان المنظومة الاجرامية التابعة للحرس الثوري الايراني جواد اله كرمي في سوريا,1,Arabic_Superset,Multi-dialect,0,0.9294902
مثلما تفضل الاخ هذي ازمت قطر وحدها نحن في السعوديه والرباعي العربي والخليجي لانريد مصالحه مع خاين,1,ArabicOffensive_Taxonomy|MPOLD|TextDetox,Multi-dialect|Unknown,0,0.7922665
دارت هاكا باش دزيد تشيع مي زادو فضحوها جبدولها كامل خرايبها زيد شوف فاليوتوب اصلن قالب عيان هاذي من زمان ناس تكحل تشوف كي والو عقونة,1,Algerian_Offensive,Unknown,0,0.9838501
مم وجهة نظر بس متى ممكن تدخلي حربو ما يموت ابرياء بالجهة المقابلة اسراييل تنام بالملاجيو القتلى في صف العدو بازدياد,1,Arabic_Superset,Multi-dialect,0,0.99732095
دكتور علي اعتقد ان انفصال اليمن يعني انفصال بين الخير الذي يمثله اهل الجنوب السني والشر الذي يمثله الشمال الفارسي، انفصل اليمن يعني توقيف مشروع ايران بتشييع الجنوب اليمني، الان اللعبع المكشوف بعد ان انخرط الاخوان مع الحوثي، دعم الجنوب اليمني ليبقى درع سني قوي,1,ArabicOffensive_Taxonomy,Unknown,0,0.98715276
اقسم بالله انك مضلله ومسوقه لقانون فاجر,1,NUHA,Unknown,0,0.84249395
ع اساس انتي الفاهمه موشغلي رهف معنفه او لا هذي عندنا حاله معنفه واضح التعنيف مو احسن له,1,SaudiCodeMixing,Unknown,0,0.96829325
نداء القضاة برضوا لما بكبروا بتخف عقولهم,1,NUHA,Unknown,0,0.9795221
ويفوز جواز السفر السوري بجايزة اخرى جواز سفر بالعالم واشقاءه العراقي والباكستاني والافغانستاني هللويا الله اكبر,1,Arabic_Superset|AwaneArabizi|L-HSAB|MultiDialect_NabilBadri|arHateDataset,Levantine|Multi-dialect|Unknown,0,0.9474358
الان خلو رياض الاطفال اجباري بعدها فكرو بعمر الثلاث سنوات وزارة الفشل والله,1,Arabic_Superset|OSACT5,MSA + mixed dialects|Multi-dialect,0,0.9920908
لعنة الله عليكم على الفرص الي ضاعت وكان سببها الكلب البلجيكي ابو تكتيك,1,AraTox,Unknown,0,0.87714326
مع كمية الطحين المنبعثه على الوجه ولا بدون ؟؟,1,NUHA,Unknown,0,0.9640292
صوت المراه عوره انشاءالله تتركي الغناء ياررب,1,NUHA,Unknown,0,0.93207014
هه شكلها ولعت الظاهر السعوديات صار عندهم حساسيه من فيديو السوريه,1,Arabic_Superset,Multi-dialect,0,0.93916494
الحق مش عليكي الحقع هتلر يلي مات قبل ما كمل حرقو يوصلك,1,NUHA,Unknown,0,0.88394296
ان لم يكن السيسي مجرما فمن المجرم ادن ؟؟,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,0.9938373
الصور التي ادهشت العالم صورتان في صورة كبر ريتويت,1,AbusiveAccounts,Unknown,0,0.99077964
انا انسان بلعب قمار واطلب من الله التوبه اما توصل لي مراحله الشواذ هذا امر خطير ومقرف في المجتمع استغفر الله,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,0.8117253
ولد خالي يبي يرقد المسكين حاصل في منشن معش رقد,1,Arabic_Superset,Multi-dialect,0,0.9356963
لو يبدي الهلال مجرد رغبه ولو بسيطه بالتعاقد مع اللاعب لارتفع المبلغ الى ضعف هذا الرقم مسكين يا عكاش,1,Arabic_Superset,Multi-dialect,0,0.93523216
سامع تهزيق مش لطيف وهاجي اضربك,1,ArabicDangerous,Unknown,0,0.95059496
هذه قصه اللي ما له قصه صعب كله ليان ليان ليان في قصص اوسخ من هيك بكثير,1,NUHA,Unknown,0,0.75247276
حان وقت الحساب ورد المظالم الا لعنة الله على الظالمين,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,0.54839534
