text,label,source,dialect,prediction,label_name,pred_name
صاحب ابليس ولا تصاحب رخيص,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
المراة مهما بلغ جمالها فانها تفقد الانوثة اذا كانت غبية او ضعيفة الشخصية او متصنعة او كاذبة,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
متل ما الشب لازم يغض النظر لازم البنت تتحشم,1,NUHA,Unknown,0,Toxic,Safe
حتى في السياسة؛ الاردنو اليابانو العراق بنفس المجموعة,1,Arabic_Superset,Multi-dialect,0,Toxic,Safe
مادامت تعمل بشرف ودين فلا ضير ما حدى بعرف الظروف الي خلتها تعمل على تكسي رغم انها شغله مرهقه ومتعبه الله يعطيها الصحه والعافيه,1,NUHA,Unknown,0,Toxic,Safe
هو جزء من مشروع صفوي خاسر بازن الله,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
برجعك بقلك انا مو بالسعودية ولا تتعتبري السعودية بلدك لانو السعودية اكبر من انها تحوي قليله ادبع ارضها,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
جزاير بوصبع,0,DziriOFN,Unknown,1,Safe,Toxic
زمن رده وانحطاط فكري واخلاقي اصبحنا بحاجه للانسانية اكثر من الدين,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
عقيدةو قناعة لمن هم اشرف منك اما بالنسبة لك، فهي مجرد وثيقة تزايد بها لمن يدفع لك اكثر كعبد في سوق النخاسة,1,DziriOFN,Unknown,0,Toxic,Safe
هاي اذاعه هابطه وبرامجها ساقطه مثلها,0,NUHA,Unknown,1,Safe,Toxic
التدين والاسلمة المغشوشة هي اخطر علينا من الالحاد الصريح,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
اغلق فمك انا لست فقط اكبر منك انا اكبر من دولتك,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
ادفع اولادك والامراء اولا,0,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,1,Safe,Toxic
اغبى انسان بالنسبة الي هو الي مفكر حاله زلمةو بقلك انا مستعد للموت لا والله انت حمارو غشيم يا صاحبي,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
