text,label,source,dialect,predicted,confidence
طب انصرف روح اطلع بحالك علا هالمنظر اني بدا توخدك طير يلا,0,NUHA,Unknown,1,0.9337006
للاسف الدوله النايمه تقاطع المنتج التركي الذي يدافع عن الاسلام بمساعدة الذباب الالكتروني,0,Arabic_Superset,Multi-dialect,1,0.99354315
العيناويين مسوين هاشتاق وجيرانا في الاندية المجاوره مسوين هاشتاق شكرا للعيناويه,0,Arabic_Superset,Multi-dialect,1,0.68409485
السلام عليكم ورحمة الله وبركاته، يا اخوة بغض النظر عن هولاء الروافض، لكن اتمنى ان يكون ولاينا وعداينا فقط لله، فمثلا يفترض هنا الا ننتقد هذا العمل لانه جيد ويزيل المنكر بما يخص هذا الحدث والموقف فقط، فاقصد لا يجرمنكم شنيان قوم على ان لا تعدلوا,0,HijabYT,Unknown,1,0.766923
لشعب بلدك كلب لكل سلطه مبدا وعقيدة قذره والمسمي شرطة,0,Arabic_Superset,Multi-dialect,1,0.99557
رقم انسانه غير محترمه لا هي ولا زوجها اما عن فنها فهو مغمور وماعندها جماهيرية قويه,0,ArabicOffensive_Taxonomy,Unknown,1,0.69432366
اسمعوا ياروافض الكويت ماذا يقول هذا الكلب اول ماسقط صدام كان يقول الكويت دوله مستقله واليوم الكويت جزء من العراق,0,Arabic_Superset,Multi-dialect,1,0.9975419
والبروف ده رسالة الدكتوراه حقتو كانت في انواع بول البعير الصالح للشرب ولا شنو؟,0,ArabicOffensive_Taxonomy|Arabic_Superset|MLMA|MultiDialect_NabilBadri,Multi-dialect|Unknown,1,0.99508554
قال صلى الله عليه وسلم الذي يشرب في اناء الفضة انما يجرجر في بطنه نار جهنم متفق عليه,0,Arabic_Superset,Multi-dialect,1,0.74350756
على حسب رواية الهبلة عبير سليمان اسلام سياسي ارهابي معتدل متطرف للترجمة,0,Arabic_Superset,Multi-dialect,1,0.7170006
احذر عدوك دبه العمر مره وخذ الحذر من صاحبك عشر مرات,0,ArCybC,Unknown,1,0.97790533
العرب همع راسهم العراق ومن ثم سوريا ولبنانو اليمنو مصر,0,ArabicOffensive_Taxonomy|MPOLD,Multi-dialect|Unknown,1,0.6605656
تتحارب امريكا وايران وسياتي الضرب على راس قطر,0,ArabicOffensive_Taxonomy|MPOLD,Multi-dialect|Unknown,1,0.95710355
سواليف وتقليد ومسخرة على بعضنا والوضع بقلب دندره,0,Arabic_Superset,Multi-dialect,1,0.9031859
لا تقولي خسرت ايام عمري كنت في معصميك اسوار شعر وعلى الدرب ضاع منك السوار,0,Arabic_Superset,Multi-dialect,1,0.98811555
كاين وضيع رخيص اشترى بايات الله ارخص الاثمان وهي اغلاها بنظر الرخاص من امثاله، وصدق المتنبي القايل وتكبر في عين الصغير صغارها وتصغر في عين العظيم العظايم,0,Arabic_Superset,Multi-dialect,1,0.8291961
رهف القنون ليست مثال يضرب فيهل النسويات والله اعلم باسباب هروبها ومين اللي حرضها او لعب بعقلها تصرف طايش من طفلة غرر بها حتى تتجرا الجراة هذي وتهرب وهي ما عندها شهادة ولا فلوس ولا اي هدف وجهتها كانت استراليا وفي اقل من يومين تغيرت لكندا,0,Arabic_Superset|arHateDataset,Multi-dialect,1,0.9906724
قبل عام حرك صهيوني يهودي سمى نفسه لورانس العرب العرب ضد الدولة العثمانية الاسلامية ومهد لقيام اسراييل الصغرى واليوم يحرك صبي صهيوني يهودي اسمه كوشنير العرب لتدمير قوتهم بايديهم ليمهد لدولة اسراييل الكبرى,0,Arabic_Superset,Multi-dialect,1,0.91994524
هه عطوه جوه والا تقول لي السليل هاه نضربك على قفاك في اليمن يابغل ولن تجرو على مس ترابنا,0,ArabicDangerous,Unknown,1,0.9959092
خلاص كفاية ميمز عن ان البنات مبتفهمشف الكورة ما انا لو سالت اي ولد عن الميكيب مش هيفهم برضو، ايه المضحك مش فاهمة,0,FemaleSportHate,Unknown,1,0.9761528
حكاية عندها قرن وانت مزالك تجبد وش دخلك دارت دراهم ولا سرقتهم ولا فورناو عليها انت وش مالمرقة حرقت شواربك وتان واش هذا الحركات,0,MAOffens,Unknown,1,0.976534
بلا لكن من يريد ان يتحمل الدماء عسكر مصر لا يقل وحشية عن عسكر بشار القذافي الوضع الحالي قتل بطيء للنظام,0,Arabic_Superset,Multi-dialect,1,0.96106714
؟؟ ماذا يجري في اكبر البلدان العربية وكان مصر بايعه هوى تعمل لدى الصهاينه لعنك الله ايها الصهيوني السيسي,0,Arabic_Superset,Multi-dialect,1,0.94862837
موضوع تسويق لعمل المراه في اي مجال وهو مرفوض من المجتمع الاردني وخاصه بهيك اعمال,0,NUHA,Unknown,1,0.8601782
اسرييل اعلنت الدوله اليهوديه بعدهم مباشره اعلن عن قيام دوله العراق الاسلاميه في الموصل عاصفة الحزم,0,Arabic_Superset,Multi-dialect,1,0.8501311
رجال صدقو ماعاهدو الله به ويخسي كل صهيوني في,0,Arabic_Superset,Multi-dialect,1,0.9152566
لويش احنا لازم نعرف انهم بحلقوا لحيتهم بلا مواخذة شو القصة؟؟ حتى النكبات فيها تميلح كمان,0,Arabic_Superset,Multi-dialect,1,0.72371626
مارتا ذي كل سنه افضل لاعبه، ميسي حقت الحريم هه,0,ArabicOffensive_Taxonomy|Arabic_Superset|MLMA|MultiDialect_NabilBadri,Multi-dialect|Unknown,1,0.7782153
مع العلم كل الرجال خارجين من فرج المراة والى هذا الدرجة يستحقرون النساء ويعتبرونهم عورات وناقصات عقل الى متى تبقى هذا الشعوب على هذا حال من الجهل والنحطط ورجعية لماذا لم تولد البنت بحجاب تولد كما ولد كافى واستحقار واهانة الى المراة والعنصرية ضد المراة,0,HijabYT,Unknown,1,0.72980934
كشف حسابات الدويلة المندسين باسامي سعودية السعودية والامارات خط احمر,0,AdultContent,MSA/Mixed,1,0.9036214
لبسها واضح ضيق عشان كذا خطفها معاه حق صراحه هي متبرجه,0,ArabicOffensive_Taxonomy|Arabic_Superset|MLMA|MultiDialect_NabilBadri,Multi-dialect|Unknown,1,0.9654124
فيلم يمثلك ويمثل من هم على شاكلتكوفخر لكي ولاشكالك قمة في الانحطاط والابتذال والرخص,0,NUHA,Unknown,1,0.745075
بصح الزطلة الدولة دخلها كون تحب مزيدش يدخل غرام منها,0,Algerian_Offensive,Unknown,1,0.94491845
هلاك المولازم هشام محمد جمال عبود هلك بريف ادلب الهالك من درعا قرية غباغب,0,Arabic_Superset,Multi-dialect,1,0.9707893
